"precinct_name","device_name","up_mete_id","mete_code","mete_no"
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#3","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#3","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#4","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","补水箱水位2","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","补水箱水位1","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#3","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#4","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","补水箱水位1","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","补水箱水位2","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#1","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#1","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#2","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#1","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#4","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#3","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#2","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#2","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#1","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#1","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#2","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#1","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#4","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#2","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#2","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A1#4","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#4","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A3#3","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力1","冷却塔水位A2#3","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机3[开利]","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机6[开利]","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调2#","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调3#","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调1#","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调6#","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调5#","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调4#","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机4[开利]","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机1[开利]","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机2[开利]","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机5[开利]","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机5[开利]","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机6[开利]","出水温度","013205",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机3[开利]","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机4[开利]","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调4#","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调5#","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调6#","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调1#","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调3#","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","远正空调2#","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机1[开利]","回水温度","013206",\N
"佛山三水数据中心第二通信机楼一楼机房制冷动力1","中央空调主机2[开利]","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#2","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#1","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#3","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#4","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#1","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#1","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#3","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#2","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#2","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#2","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#4","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#2","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#3","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#1","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#4","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#3","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#1","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#3","出水温度","013205",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#2","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#4","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B1#1","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B3#3","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#4","回水温度","013206",\N
"佛山三水数据中心第二通信机楼五楼机房冷却塔配电动力2","冷却塔水位B2#4","出水温度","013205",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","中央空调主机4[美的]","出水温度","013205",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","中央空调主机1[开利]","回水温度","013206",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","中央空调主机2[开利]","回水温度","013206",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调2#","回水温度","013206",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调4#","回水温度","013206",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调3#","回水温度","013206",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调1#","回水温度","013206",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调4#","出水温度","013205",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","中央空调主机4[美的]","回水温度","013206",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","中央空调主机2[开利]","出水温度","013205",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","中央空调主机1[开利]","出水温度","013205",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调1#","出水温度","013205",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调3#","出水温度","013205",\N
"佛山三水数据中心第一通信机楼一楼机房制冷动力1","远正空调2#","出水温度","013205",\N
"佛山三水数据中心第一通信机楼负一楼机房蓄冷动力1","冷却泵空开监控","回水温度","013206",\N
"佛山三水数据中心第一通信机楼负一楼机房蓄冷动力1","冷却泵空开监控","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","5#冷却塔水位2","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位3#5","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位4#3","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位4#2","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位2#1","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位1#2","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位3#3","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位2#4","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位4#1","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","5#冷却塔水位3","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位3#1","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","5#冷却塔水位4","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","5#冷却塔水位5","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","5#冷却塔水位1","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位3#2","回水温度","013206",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位3#2","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位2#3","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位1#4","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位1#5","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位1#3","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位4#5","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位1#1","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位2#5","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位4#4","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","水箱房水位","出水温度","013205",\N
"佛山三水数据中心第一通信机楼五楼机房冷却塔配电动力1","冷却塔水位3#4","出水温度","013205",\N
