deviceName,deviceID,meteID,meteCode,meteKind,meteName,meteNo,deviceType,deviceTypeName,roomName,meteType,meteKindName
低压交流配电,00441006000000200644,6200200002101000001,002101,2,低压开关合闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000200868,6200200002101000001,002101,2,低压开关合闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000201092,6200200002101000001,002101,2,低压开关合闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000201316,6200200002101000001,002101,2,低压开关合闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000201540,6200200002101000001,002101,2,低压开关合闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000200644,6200200002102000001,002102,2,低压开关分闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000200868,6200200002102000001,002102,2,低压开关分闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000201092,6200200002102000001,002102,2,低压开关分闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000201316,6200200002102000001,002102,2,低压开关分闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控
低压交流配电,00441006000000201540,6200200002102000001,002102,2,低压开关分闸,0,2,低压交流配电,性能采集机房10_200快1,2,遥控

