性能采集测试站点,性能采集测试楼栋,性能采集机房1,01-01-08-04-16-01-01,测试机柜列1,冷通道1
性能采集测试站点,性能采集测试楼栋,性能采集机房2,01-01-08-04-16-01-02,测试机柜列2,冷通道2
性能采集测试站点,性能采集测试楼栋,性能采集机房3,01-01-08-04-16-01-03,测试机柜列3,冷通道3
性能采集测试站点,性能采集测试楼栋,性能采集机房4,01-01-08-04-16-01-04,测试机柜列4,冷通道4
性能采集测试站点,性能采集测试楼栋,性能采集机房5,01-01-08-04-16-01-05,测试机柜列5,冷通道5
性能采集测试站点,性能采集测试楼栋,性能采集机房6_100设备,01-01-08-04-16-01-06,测试机柜列6,冷通道6
性能采集测试站点,性能采集测试楼栋,性能采集机房6_200设备,01-01-08-04-16-01-07,测试机柜列7,冷通道7
性能采集测试站点,性能采集测试楼栋,性能采集机房7_400设备,01-01-08-04-16-01-08,测试机柜列8,冷通道8
性能采集测试站点,性能采集测试楼栋,性能采集机房8_500设备,01-01-08-04-16-01-09,测试机柜列9,冷通道9
性能采集测试站点,性能采集测试楼栋,性能采集机房9_700设备,01-01-08-04-16-01-10,测试机柜列10,冷通道10
性能采集测试站点,性能采集测试楼栋,性能采集机房10_1000设备,01-01-08-04-16-01-11,测试机柜列11,冷通道11
性能采集测试站点,性能采集测试楼栋,性能采集机房10_200快1,01-01-08-04-16-01-12,测试机柜列12,冷通道12
性能采集测试站点,性能采集测试楼栋,性能采集机房11_200快2,01-01-08-04-16-01-13,测试机柜列13,冷通道13
性能采集测试站点,性能采集测试楼栋,性能采集机房12_200快3,01-01-08-04-16-01-14,测试机柜列14,冷通道14
性能采集测试站点,性能采集测试楼栋,性能采集机房13_200快4,01-01-08-04-16-01-15,测试机柜列15,冷通道15
性能采集测试站点,性能采集测试楼栋,性能采集机房14_200快5,01-01-08-04-16-01-16,测试机柜列16,冷通道16
